# z     fIaMin      fIa     fIaMax
2.290  0.01274  0.07253  0.15765 
2.300  0.01261  0.07239  0.15774 
2.310  0.01248  0.07224  0.15782 
2.320  0.01234  0.07210  0.15791 
2.330  0.01222  0.07195  0.15800 
2.340  0.01209  0.07181  0.15809 
2.350  0.01196  0.07167  0.15818 
2.360  0.01183  0.07153  0.15827 
2.370  0.01171  0.07138  0.15836 
2.380  0.01159  0.07124  0.15844 
2.390  0.01147  0.07110  0.15853 
2.400  0.01135  0.07096  0.15862 
2.410  0.01123  0.07082  0.15871 
2.420  0.01111  0.07068  0.15880 
2.430  0.01099  0.07054  0.15889 
2.440  0.01088  0.07040  0.15898 
2.450  0.01076  0.07026  0.15907 
2.460  0.01065  0.07012  0.15916 
2.470  0.01054  0.06998  0.15925 
2.480  0.01043  0.06984  0.15934 
2.490  0.01032  0.06970  0.15943 
2.500  0.01021  0.06956  0.15951 
2.510  0.01010  0.06942  0.15960 
2.520  0.00999  0.06928  0.15969 
2.530  0.00989  0.06914  0.15978 
2.540  0.00978  0.06901  0.15987 
2.550  0.00968  0.06887  0.15996 
2.560  0.00958  0.06873  0.16005 
2.570  0.00948  0.06859  0.16014 
2.580  0.00938  0.06846  0.16023 
2.590  0.00928  0.06832  0.16032 
2.600  0.00918  0.06819  0.16041 
2.610  0.00909  0.06805  0.16050 
2.620  0.00899  0.06791  0.16059 
2.630  0.00890  0.06778  0.16068 
2.640  0.00880  0.06764  0.16077 
2.650  0.00871  0.06751  0.16086 
2.660  0.00862  0.06737  0.16095 
2.670  0.00853  0.06724  0.16104 
2.680  0.00844  0.06710  0.16113 
2.690  0.00835  0.06697  0.16122 
2.700  0.00826  0.06684  0.16131 
2.710  0.00817  0.06670  0.16140 
2.720  0.00809  0.06657  0.16149 
2.730  0.00800  0.06644  0.16158 
2.740  0.00792  0.06630  0.16167 
2.750  0.00783  0.06617  0.16176 
2.760  0.00775  0.06604  0.16185 
2.770  0.00767  0.06591  0.16194 
2.780  0.00759  0.06578  0.16203 
2.790  0.00751  0.06564  0.16212 
2.800  0.00743  0.06551  0.16221 
2.810  0.00735  0.06538  0.16230 
2.820  0.00727  0.06525  0.16240 
2.830  0.00720  0.06512  0.16249 
2.840  0.00712  0.06499  0.16258 
2.850  0.00705  0.06486  0.16267 
2.860  0.00697  0.06473  0.16276 
2.870  0.00690  0.06460  0.16285 
2.880  0.00683  0.06447  0.16294 
2.890  0.00675  0.06434  0.16303 
2.900  0.00668  0.06421  0.16312 
2.910  0.00661  0.06408  0.16321 
2.920  0.00654  0.06396  0.16330 
2.930  0.00647  0.06383  0.16340 
2.940  0.00640  0.06370  0.16349 
2.950  0.00634  0.06357  0.16358 
2.960  0.00627  0.06344  0.16367 
2.970  0.00620  0.06332  0.16376 
2.980  0.00614  0.06319  0.16385 
2.990  0.00607  0.06306  0.16394 
3.000  0.00601  0.06294  0.16403 
3.010  0.00595  0.06281  0.16413 
3.020  0.00588  0.06268  0.16422 
3.030  0.00582  0.06256  0.16431 
3.040  0.00576  0.06243  0.16440 
3.050  0.00570  0.06231  0.16449 
3.060  0.00564  0.06218  0.16458 
3.070  0.00558  0.06206  0.16468 
3.080  0.00552  0.06193  0.16477 
3.090  0.00546  0.06181  0.16486 
